"if_you_experience_symptoms_of_warning_signs,_which_specialist_would_you_consult?",do_you_know_what_is_a_brain_stroke?,how_soon_would_you_consult_a_specialist_after_experiencing_the_first_symptom?,"do_you_think_sudden_confusion_,trouble_speaking_or_understanding_speech_is_a_stroke_symptom?","do_you_think_sudden_numbness_or_weakness_of_face,_arm_or_leg_is_a_symptom_of_stroke?",do_you_think_sudden_nosebleed_is_a_stroke_of_symptom?,do_you_think_trouble_seeing_in_one_or_both_the_eyes_is_a_stroke_symptom?,age,gender,educational_level,salary,first_contact_after_experiencing_symptom,how_soon_treatment_should_be_taken_after_noticing_symptoms,where_to_go_after_experiencing_symptoms_of_brain_stroke,stroke_symptoms,risk_factors,what_advice_would_you_give_for_someone_experiencing_stroke_symptoms,score_specialist,score_know_stroke,score_confusion,score_numbness,score_vision,score_nosebleed,score_urgency,score_location,total_raw_score,awareness_score
Neurologist,No,Within a week,yes,yes,yes,yes,15-25,Male,speciality,"4,00,001 - 6,00,000",Unknown,Unknown,Unknown /No Response,,Unaware,No response,4,0,1,1,1,0,0,0,24,3.81
Neurologist,Maybe,Immediately,maybe,yes,yes,maybe,26-40,Male,graduate,"Above 8,00,000",Unknown,Unknown,Unknown /No Response,Unaware,Unaware,No response,4,0,0,1,0,0,0,0,17,2.7
Neurologist,Yes,Within a day,yes,yes,yes,maybe,15-25,Female,undergraduate,"Below 2,00,000",Unknown,Unknown,Unknown /No Response,,Unaware,No response,4,1,1,1,0,0,0,0,27,4.29
Neurologist,Yes,Within a week,no,no,no,maybe,15-25,Male,speciality,"2,00,001 - 4,00,000",Unknown,Unknown,Unknown /No Response,,Unaware,No response,4,1,0,0,0,2,0,0,21,3.33
"ENT (Ear, Nose, and Throat specialist)",Maybe,Immediately,yes,yes,yes,yes,15-25,Female,graduate,"Below 2,00,000",Unknown,Unknown,Unknown /No Response,"Paralysis / Weakness, Vision Problems",Unaware,No response,2,0,1,1,1,0,0,0,18,2.86
Physician,Yes,Immediately,yes,yes,yes,maybe,15-25,Male,graduate,"6,00,001 - 8,00,000",Unknown,Unknown,Unknown /No Response,Speech / Confusion,Unaware,No response,0,1,1,1,0,0,0,0,15,2.38
Physician,Yes,Immediately,yes,yes,maybe,maybe,15-25,Female,graduate,"2,00,001 - 4,00,000",Unknown,Unknown,Unknown /No Response,"Speech / Confusion, Paralysis / Weakness, Vision Problems",Unaware,No response,0,1,1,1,0,1,0,0,17,2.7
Neurologist,Maybe,Immediately,maybe,no,yes,yes,15-25,Female,graduate,"4,00,001 - 6,00,000",Unknown,Unknown,Doctor /Specialist,Headache,Blood pressure or Heart problem,No response,4,0,0,0,1,0,0,0,14,2.22
Neurologist,Maybe,Within a week,yes,yes,maybe,maybe,15-25,Female,graduate,"Below 2,00,000",Family/Friend,Immediate,Hospital /Medical Centre,,Unaware,No response,4,0,1,1,0,1,0,3,39,6.19
Neurologist,No,Immediately,no,yes,yes,maybe,15-25,Male,graduate,"2,00,001 - 4,00,000",Unknown,Unknown,Unknown /No Response,,Unaware,No response,4,0,0,1,0,0,0,0,17,2.7
